Aberforth Dumbledore
Alastor Moody
Albus Dumbledore
Albus Severus Potter
Aleto Carrow
Alicia Spinnet
Amelia Bones
Amico Carrow
Amos Diggory
Ana Abbott
André Kirke
Angelina Johnson
Anthony Goldstein
Arabella Dora Figg
Argus Filch
Armando Dippet
As Esquisitonas
Astoria Greengrass
Badley, o Bardo
Bartolomeu Crouch
Bartolomeu Crouch Jr.
Barão Sangrento
Batilda Bagshot
Bellatrix Lestrange
Bertha Jorkins
Blas Zabini
Cedric Diggory
Chefe Bragge
Cho Chang
Colin Creevey
Comensal Da Morte
Cornelius Fudge
Crabbe (pai)
Córmaco McLaggen
Dama gorda
Dawlish
Demelza Robins
Denis Creevey
Dexter Fortescue
Dilys Derwent
Dino Thomas
Dolores Umbridge
Dorea Black
Draco Malfoy
Dursley
Dédalo Diggle
Dênis Creevey
Elfo-doméstico
Ernesto Macmillan
Ernie McMillan
Estúrgio Podmore
Evan Abercrombie
Everardo
Família Black
Família Malfoy
Fantasmas de Hogwarts
Fenrir Greyback
Fineus Nigellus
Fleur Delacour
Flitwick
Franco Bryce
Fred Wesley
Frei Gorducho
Fridwulfa
Gabrielle Delacour
Gabrielle Malfoy
Gellert Grindelwald
Gilderoy Lockhart
Ginevra Molly Weasley
Godric Gryffindor
Goyle
Gregory Goyle
Grindelwald (bruxo das trevas)
Grope
Grubby-Plank
Guida Dursley
Harry James Potter
Harry Potter
Helga Hufflepuff
Hepzibah Smith
Hermione Jane Granger
Horácio Slughorn
Hugo Weasley
Igor Karkaroff
Irmãos Peverell
Jaquito Peakes
James Serius Potter
Jorge Wesley
Justino Finch-Fletchley
Katie Bell
Kennilworthy Whisp
Lily Evans
Lilá Brown
Lilian Luna Potter
Lino Jordan
Lockhart
Longbottom
Lucio Malfoy
Ludo Bagman
Ludovico Bagman
Luna Lovegood
Madame Hooch
Madame Norra
Madame Pince
Madame Rosmerta
Maggie Smith
Marcos Flint
Marieta Edgecombe
Marlene Mckinnon
Marvolo Gaunt
Metamorfomaga
Miguel Corner
Minerva McGonagall
Monstro, o elfo doméstico
Morfino Gaunt
Mulciber
Mulher Gorda
Mundungo Fletcher
Murta Que Geme
Mérope Gaunt
Narcisa Malfoy
Natália McDonald
Neville Longbottom
Nick Quase Sem Cabeça
Ninfadora Tonks
Nott
Olímpia Maxime
Olívia Hornby
Olívio Wood
Os Gaunts
Padma Patil
Pansy Parkinson
Papoula Pomfrey
Parvati Patil
Pedro Pettigrew
Penélope Clearwater
Petúnia Evans
Pomona Sprout
Prisão de Azkaban
Professor Binns
Professora Grubbly-Plank
Quim Shacklebolt
Quirinus Quirrell
Regulus Black
Remo John Lupin
Rita Skeeter
Roger Davies
Rose Weasley
Ronald Bilius Weasley
Rowena Ravenclaw
Rufo Scrimgeour
Rúbeo Hagrid
Salazar Slytherin
Severo Snape
Sibila Trelawney
Simas Finnigan
Sir Cadogan
Sirius Black
Sr. Olivaras
Stanislau Shunpike
Susana Bones
Terencio Boot
Tiago Potter
Tiago Sirius
Vincent Crabbe
Vitória Isabelle Delacour Weasley
Voldemort
Vítor Krum
Walden Macnair
Xenofílio Lovegood
Xenophilius Lovegood
Zacharias Smith
